# time, value
1., 0.00151916561604
1.001, 0.00255792981073
1.002, 0.00329566587176
1.003, 0.00384659334861
1.004, 0.00430915752446
1.005, 0.00464073641572
1.006, 0.00494158049854
1.007, 0.00518790607986
1.008, 0.0054744523342
1.009, 0.00574129686952
1.01, 0.00591465248826
1.011, 0.00597575844929
1.012, 0.00607808478382
1.013, 0.00628242773523
1.014, 0.00651635642176
1.015, 0.0064787299069
1.016, 0.00690441974942
1.017, 0.00701219682799
1.018, 0.00709863560109
1.019, 0.00731695965863
1.02, 0.00707277425437
1.021, 0.00723689847579
1.022, 0.00743788689239
1.023, 0.00726421860863
1.024, 0.00767259889126
1.025, 0.00744809739175
1.026, 0.00784859697416
1.027, 0.00765059540767
1.028, 0.00808820552821
1.029, 0.00790535439085
1.03, 0.00769102844587
1.031, 0.00823789817201
1.032, 0.00810883925535
1.033, 0.00792839788544
1.034, 0.00868763300344
1.035, 0.0084646042025
1.036, 0.0083294772608
1.037, 0.00811516937085
1.038, 0.00890432308329
1.039, 0.0087405808
1.04, 0.00860319629047
1.041, 0.00850666092698
1.042, 0.00963218149379
1.043, 0.00946847646171
1.044, 0.00922974733929
1.045, 0.00906256229086
1.046, 0.00895327106636
1.047, 0.00883085304686
1.048, 0.008734326342
1.049, 0.010098875
1.05, 0.00997473701902
1.051, 0.00978762602133
1.052, 0.00963439677183
1.053, 0.009437700366
1.054, 0.00932022701042
1.055, 0.009139579904
1.056, 0.00892694929825
1.057, 0.0105147277336
1.058, 0.0103564231758
1.059, 0.0102824832
1.06, 0.0102011973962
1.061, 0.0101553004656
1.062, 0.0100453307094
1.063, 0.0098292998144
1.064, 0.0097131724625
1.065, 0.0096502055496
1.066, 0.0095400997763
1.067, 0.0094590490432
1.068, 0.0093390465
1.069, 0.0115336375
1.07, 0.011546792125
1.071, 0.011463696
1.072, 0.011320265125
1.073, 0.011242487
1.074, 0.011116640625
1.075, 0.011015326
1.076, 0.010956974875
1.077, 0.010777065
1.078, 0.0106374685
1.079, 0.01049
1.08, 0.0103439025
1.081, 0.0101822885
1.082, 0.010087903
1.083, 0.009999612
1.084, 0.0098957
1.085, 0.009772094
1.086, 0.0097009785
1.087, 0.0128609066667
1.088, 0.0127685481667
1.089, 0.01265445
1.09, 0.0125966143333
1.091, 0.01236572
1.092, 0.0123297075
1.093, 0.0121803633333
1.094, 0.0120566875
1.095, 0.011958144
1.096, 0.011824106
1.097, 0.0116520693333
1.098, 0.011573034
1.099, 0.0114233333333
1.1, 0.0112144003333
1.101, 0.011206468
1.102, 0.0111103696667
1.103, 0.011010272
1.104, 0.0108343375
1.105, 0.010690206
1.106, 0.0104879081667
1.107, 0.010458
1.108, 0.0104276666667
1.109, 0.0102483333333
1.11, 0.010101
1.111, 0.00998666666667
1.112, 0.00990633333333
1.113, 0.009614
1.114, 0.00950666666667
1.115, 0.00935733333333
1.116, 0.009243
1.117, 0.00900733333333
1.118, 0.013209
1.119, 0.0129
1.12, 0.01261425
1.121, 0.012566
1.122, 0.01239225
1.123, 0.012338
1.124, 0.0121875
1.125, 0.0121905
1.126, 0.012065
1.127, 0.011936
1.128, 0.01190025
1.129, 0.011895
1.13, 0.01175725
1.131, 0.011517
1.132, 0.0115045
1.133, 0.01139
1.134, 0.01130625
1.135, 0.011186
1.136, 0.0111655
1.137, 0.011109
1.138, 0.010842
1.139, 0.01064
1.14, 0.01053975
1.141, 0.0104725
1.142, 0.0103675
1.143, 0.010332
1.144, 0.01033125
1.145, 0.0102565
1.146, 0.01025325
1.147, 0.010286
1.148, 0.01016925
1.149, 0.009975
1.15, 0.0098905
1.151, 0.009728
1.152, 0.009639
1.153, 0.0095865
1.154, 0.0095325
1.155, 0.009477
1.156, 0.00942
1.157, 0.009243
1.158, 0.0091425
1.159, 0.00916
1.16, 0.0089355
1.161, 0.0087075
1.162, 0.00851675
1.163, 0.008446
1.164, 0.00825
1.165, 0.008134
1.166, 0.0079325
1.167, 0.007728
1.168, 0.007605
1.169, 0.0074375
1.17, 0.00722475
1.171, 0.007095
1.172, 0.00704975
1.173, 0.00696
1.174, 0.006825
1.175, 0.006864
1.176, 0.006726
1.177, 0.006586
1.178, 0.00639925
1.179, 0.0063
1.18, 0.0062445
1.181, 0.006097
1.182, 0.006039
1.183, 0.011868
1.184, 0.0117475
1.185, 0.011532
1.186, 0.01122
1.187, 0.011186
1.188, 0.010962
1.189, 0.010925
1.19, 0.0107915
1.191, 0.010752
1.192, 0.0105185
1.193, 0.010379
1.194, 0.0100425
1.195, 0.009996
1.196, 0.0099485
1.197, 0.0099
1.198, 0.009751
