# time, value
1., 0.000771933777061
1.001, 0.00118882804334
1.002, 0.00144897646906
1.003, 0.00163329139729
1.004, 0.00178092140859
1.005, 0.00188212555811
1.006, 0.00198319248738
1.007, 0.00207586510692
1.008, 0.00216108588418
1.009, 0.00224500747844
1.01, 0.00231410245235
1.011, 0.00231338482219
1.012, 0.00237835695726
1.013, 0.00242206621229
1.014, 0.00253473812999
1.015, 0.00254057808295
1.016, 0.00266979099375
1.017, 0.00271089843658
1.018, 0.00275446706934
1.019, 0.002824330085
1.02, 0.00272638295812
1.021, 0.00281523989988
1.022, 0.00292784480342
1.023, 0.0028354406874
1.024, 0.0029656839393
1.025, 0.00288165173358
1.026, 0.00302729579887
1.027, 0.00293383303733
1.028, 0.00312075366423
1.029, 0.00306237627273
1.03, 0.00298829805086
1.031, 0.0032175235072
1.032, 0.00314338137795
1.033, 0.0030624597912
1.034, 0.00333030813889
1.035, 0.003264357184
1.036, 0.00318778379478
1.037, 0.00313102571511
1.038, 0.00345853833244
1.039, 0.003361104
1.04, 0.0032722305
1.041, 0.00321467475
1.042, 0.00363158342857
1.043, 0.00354873828571
1.044, 0.00349725535714
1.045, 0.00341688
1.046, 0.00333968235714
1.047, 0.00328328228571
1.048, 0.003190215
1.049, 0.003651875
1.05, 0.00358470075
1.051, 0.00353346933333
1.052, 0.00345547191667
1.053, 0.003394701
1.054, 0.00335676458333
1.055, 0.00327316266667
1.056, 0.0032173745
1.057, 0.0038116092
1.058, 0.0037534443
1.059, 0.00369672
1.06, 0.0036302442
1.061, 0.0035777844
1.062, 0.0035346969
1.063, 0.0034884096
1.064, 0.0034645
1.065, 0.0034386
1.066, 0.0033433
1.067, 0.0032912
1.068, 0.0032154
1.069, 0.00391125
1.07, 0.0037985
1.071, 0.00378
1.072, 0.00374125
1.073, 0.0036445
1.074, 0.003525
1.075, 0.0034295
1.076, 0.003416875
1.077, 0.00336375
1.078, 0.00325875
1.079, 0.00318
1.08, 0.003067875
1.081, 0.00300325
1.082, 0.00292575
1.083, 0.0028455
1.084, 0.00272
1.085, 0.00271975
1.086, 0.002664375
1.087, 0.003476
1.088, 0.00341166666667
1.089, 0.0033
1.09, 0.0032305
1.091, 0.00320466666667
1.092, 0.003131
1.093, 0.003008
1.094, 0.00292916666667
1.095, 0.002848
1.096, 0.00279683333333
1.097, 0.00276033333333
1.098, 0.00264
1.099, 0.00256666666667
1.1, 0.0024745
1.101, 0.002346
1.102, 0.00224883333333
1.103, 0.00214933333333
1.104, 0.0021175
1.105, 0.002067
1.106, 0.00196166666667
1.107, 0.00189
1.108, 0.00183483333333
1.109, 0.00179666666667
1.11, 0.0017575
1.111, 0.00168
1.112, 0.0016385
1.113, 0.001558
1.114, 0.00151416666667
1.115, 0.00146933333333
1.116, 0.001404
1.117, 0.001357
1.118, 0.002023
1.119, 0.00198
1.12, 0.00196625
1.121, 0.00183
1.122, 0.00169125
1.123, 0.001705
1.124, 0.00165625
1.125, 0.001575
1.126, 0.00142875
1.127, 0.001408
1.128, 0.0013545
1.129, 0.0013325
1.13, 0.00131
1.131, 0.001287
1.132, 0.00129675
1.133, 0.0013065
1.134, 0.00118125
1.135, 0.00119
1.136, 0.00119875
1.137, 0.001173
1.138, 0.0011815
1.139, 0.00119
1.14, 0.0011985
1.141, 0.0011715
1.142, 0.001144
1.143, 0.00108
1.144, 0.00097875
1.145, 0.0009125
1.146, 0.00084525
1.147, 0.000814
1.148, 0.00078225
1.149, 0.0007875
1.15, 0.000755
1.151, 0.00076
1.152, 0.00072675
1.153, 0.000693
1.154, 0.00065875
1.155, 0.000663
1.156, 0.000628
1.157, 0.0005925
1.158, 0.0005565
1.159, 0.00056
1.16, 0.0005635
1.161, 0.000567
1.162, 0.00052975
1.163, 0.000451
1.164, 0.00045375
1.165, 0.0003735
1.166, 0.00037575
1.167, 0.000336
1.168, 0.000338
1.169, 0.0002975
1.17, 0.00029925
1.171, 0.000301
1.172, 0.0002595
1.173, 0.000261
1.174, 0.0002625
1.175, 0.000264
1.176, 0.0002655
1.177, 0.000267
1.178, 0.0002685
1.179, 0.00027
1.18, 0.0002715
1.181, 0.000273
1.182, 0.00022875
1.183, 0.00046
1.184, 0.0004625
1.185, 0.000465
1.186, 0.0004675
1.187, 0.00047
1.188, 0.0004725
1.189, 0.000475
1.19, 0.0004775
1.191, 0.00048
1.192, 0.000386
1.193, 0.000388
1.194, 0.00039
1.195, 0.000392
1.196, 0.000394
1.197, 0.000396
1.198, 0.000398
