"Date","Price","Open","High","Low","Vol.","Change %"
"03/08/2023","1,533.04","1,562.41","1,569.66","1,531.32","460.10K","-1.84%"
"03/07/2023","1,561.79","1,565.92","1,580.92","1,536.26","437.98K","-0.26%"
"03/06/2023","1,565.84","1,564.22","1,581.16","1,555.43","307.72K","0.09%"
"03/05/2023","1,564.36","1,566.54","1,587.99","1,556.86","299.30K","-0.15%"
"03/04/2023","1,566.74","1,569.00","1,577.01","1,550.10","237.65K","-0.17%"
"03/03/2023","1,569.46","1,648.27","1,649.19","1,547.59","742.83K","-4.76%"
"03/02/2023","1,647.86","1,665.40","1,677.43","1,620.20","423.02K","-1.10%"
"03/01/2023","1,666.13","1,604.95","1,668.53","1,595.31","473.90K","3.83%"
"02/28/2023","1,604.69","1,633.16","1,646.33","1,598.69","393.50K","-1.77%"
"02/27/2023","1,633.66","1,641.60","1,665.01","1,609.84","431.92K","-0.48%"
"02/26/2023","1,641.61","1,594.62","1,648.78","1,588.65","308.62K","2.94%"
"02/25/2023","1,594.66","1,607.91","1,608.61","1,562.07","290.11K","-0.84%"
"02/24/2023","1,608.24","1,650.55","1,663.83","1,579.56","512.52K","-2.56%"
"02/23/2023","1,650.52","1,643.24","1,678.15","1,630.93","501.35K","0.43%"
"02/22/2023","1,643.40","1,659.66","1,666.38","1,600.77","529.22K","-0.96%"
"02/21/2023","1,659.41","1,703.50","1,716.38","1,637.13","520.24K","-2.58%"
"02/20/2023","1,703.28","1,679.93","1,719.10","1,651.51","451.40K","1.29%"
"02/19/2023","1,681.51","1,691.35","1,722.14","1,671.16","400.87K","-0.60%"
"02/18/2023","1,691.62","1,694.03","1,708.72","1,681.18","267.38K","-0.14%"
"02/17/2023","1,693.97","1,636.61","1,720.00","1,631.88","579.97K","3.24%"
"02/16/2023","1,640.81","1,676.45","1,738.86","1,635.00","832.30K","-2.07%"
"02/15/2023","1,675.47","1,556.19","1,676.93","1,542.67","581.18K","7.72%"
"02/14/2023","1,555.44","1,505.88","1,565.16","1,494.26","668.95K","3.29%"
"02/13/2023","1,505.90","1,515.18","1,525.56","1,464.12","643.15K","-0.63%"
"02/12/2023","1,515.44","1,538.51","1,547.29","1,495.06","286.87K","-1.49%"
"02/11/2023","1,538.33","1,513.05","1,542.65","1,508.06","289.67K","1.62%"
"02/10/2023","1,513.80","1,544.54","1,554.19","1,499.52","484.68K","-2.04%"
"02/09/2023","1,545.34","1,651.01","1,656.00","1,531.22","658.00K","-6.40%"
"02/08/2023","1,651.02","1,672.42","1,694.32","1,631.14","417.97K","-1.22%"
"02/07/2023","1,671.43","1,613.20","1,676.81","1,613.20","451.93K","3.58%"
"02/06/2023","1,613.71","1,628.84","1,657.75","1,606.60","384.10K","-0.97%"
"02/05/2023","1,629.45","1,666.09","1,671.90","1,612.70","413.57K","-2.25%"
"02/04/2023","1,666.92","1,663.39","1,694.63","1,646.10","308.14K","0.19%"
"02/03/2023","1,663.78","1,644.56","1,673.57","1,628.73","465.56K","1.35%"
"02/02/2023","1,641.56","1,643.72","1,710.24","1,632.60","628.35K","-0.04%"
"02/01/2023","1,642.18","1,585.51","1,647.28","1,560.22","474.68K","3.59%"
"01/31/2023","1,585.25","1,566.00","1,602.00","1,562.03","348.47K","1.20%"
"01/30/2023","1,566.50","1,644.81","1,647.32","1,540.29","595.08K","-4.83%"
