# time, value
0., 1.
0.01, 0.999902253383
0.02, 0.975273877053
0.03, 0.939486233266
0.04, 0.804073000852
0.05, 0.808823162824
0.06, 0.860964175561
0.07, 0.846956476869
0.08, 0.836930465503
0.09, 0.899666759316
0.1, 0.890796001594
0.11, 0.834285578302
0.12, 0.825830389153
0.13, 0.778018286859
0.14, 0.822555787065
0.15, 0.83023897503
0.16, 0.808292397414
0.17, 0.791308517319
0.18, 0.805209545419
0.19, 0.843077192339
0.2, 0.881386106117
0.21, 0.841034569582
0.22, 0.875303579856
0.23, 0.867810616836
0.24, 0.851157408624
0.25, 0.845218229289
0.26, 0.79226673774
0.27, 0.79764066645
0.28, 0.748727844148
0.29, 0.727751686724
0.3, 0.733500486435
0.31, 0.802973437114
0.32, 0.834697341788
0.33, 0.825425113315
0.34, 0.835289540485
0.35, 0.858874966851
0.36, 0.824627607906
0.37, 0.872055467429
0.38, 0.796857739478
0.39, 0.775414058478
0.4, 0.744902462845
0.41, 0.787937407768
0.42, 0.720030987403
0.43, 0.723232986554
0.44, 0.711912981568
0.45, 0.780606868575
0.46, 0.740182169103
0.47, 0.704683177558
0.48, 0.682933545472
0.49, 0.748355145814
0.5, 0.684067932428
0.51, 0.668372548986
0.52, 0.643125852505
0.53, 0.684993963896
0.54, 0.72195861488
0.55, 0.658394173029
0.56, 0.698213494513
0.57, 0.692197939461
0.58, 0.667584632935
0.59, 0.674343418572
0.6, 0.639107586236
0.61, 0.677628776327
0.62, 0.608385011271
0.63, 0.62507854406
0.64, 0.627472333601
0.65, 0.626195799615
0.66, 0.606623961127
0.67, 0.601385271327
0.68, 0.616463268365
0.69, 0.650587922929
0.7, 0.672081920701
0.71, 0.68013953518
0.72, 0.684266619292
0.73, 0.638890812569
0.74, 0.656029802109
0.75, 0.674284680418
0.76, 0.671009212548
0.77, 0.699034314012
0.78, 0.646015981256
0.79, 0.618193420899
0.8, 0.631909052824
0.81, 0.632310890137
0.82, 0.621710638681
0.83, 0.630013905292
0.84, 0.610879793704
0.85, 0.574979494537
0.86, 0.595797025223
0.87, 0.588304099526
0.88, 0.598951144181
0.89, 0.580055932923
0.9, 0.629127290263
0.91, 0.630243644804
0.92, 0.654614509572
0.93, 0.597211420738
0.94, 0.579327903835
0.95, 0.55470974632
0.96, 0.592413242413
0.97, 0.600577850869
0.98, 0.568327048004
0.99, 0.565710016034
1., 0.586004218275
1.01, 0.653600805869
1.02, 0.682476073632
1.03, 0.630664041084
1.04, 0.599974137499
1.05, 0.588479322181
1.06, 0.558230256055
1.07, 0.583855991127
1.08, 0.584898208138
1.09, 0.592071801642
1.1, 0.584519862517
1.11, 0.558064111537
1.12, 0.609882498814
1.13, 0.636227721957
1.14, 0.640725678214
1.15, 0.654138999385
1.16, 0.602973136689
1.17, 0.600335957216
1.18, 0.575464688845
1.19, 0.522799633735
1.2, 0.499978425921
1.21, 0.490229849306
1.22, 0.496869908901
1.23, 0.504679761783
1.24, 0.471409959228
1.25, 0.464642073668
1.26, 0.454623749275
1.27, 0.457475711058
1.28, 0.466471489312
1.29, 0.461431187903
1.3, 0.495771467708
1.31, 0.531397810189
1.32, 0.576946836711
1.33, 0.601351862151
1.34, 0.600165584337
1.35, 0.640908309376
1.36, 0.643354497765
1.37, 0.650823494748
1.38, 0.659919396974
1.39, 0.63412525452
1.4, 0.644416512249
1.41, 0.611316068668
1.42, 0.582451578592
1.43, 0.528590651828
1.44, 0.493454987704
1.45, 0.436376533429
1.46, 0.424230422653
1.47, 0.426061554873
1.48, 0.447782430327
1.49, 0.397064594956
1.5, 0.408299768731
1.51, 0.394074449255
1.52, 0.396519541411
1.53, 0.393625286195
1.54, 0.37307237317
1.55, 0.398744474728
1.56, 0.389919127171
1.57, 0.429541252261
1.58, 0.400788596679
1.59, 0.385743108723
1.6, 0.420031160249
1.61, 0.452261426305
1.62, 0.457531901089
1.63, 0.412533114305
1.64, 0.443834985269
1.65, 0.440607656745
1.66, 0.459631989463
1.67, 0.408671325204
1.68, 0.392396480786
1.69, 0.426362220533
1.7, 0.404790898256
1.71, 0.400984300317
1.72, 0.396898809635
1.73, 0.396026433246
1.74, 0.383165221123
1.75, 0.443888110989
1.76, 0.445407726982
1.77, 0.401646371682
1.78, 0.442413225051
1.79, 0.40774789552
1.8, 0.370320657056
1.81, 0.376729687229
1.82, 0.371478180889
1.83, 0.360968649856
1.84, 0.319057804818
1.85, 0.315429431415
1.86, 0.306073139145
1.87, 0.305779020135
1.88, 0.291902267027
1.89, 0.291738444574
1.9, 0.294260895852
1.91, 0.28449625744
1.92, 0.276481188475
1.93, 0.272177329778
1.94, 0.271025439426
1.95, 0.266485352512
1.96, 0.249797831359
1.97, 0.24904527518
1.98, 0.242340244861
1.99, 0.240252723565
2., 0.259461842043
2.01, 0.253135747819
2.02, 0.266832786852
2.03, 0.271473916074
2.04, 0.255184590935
2.05, 0.251840412573
2.06, 0.243336395734
2.07, 0.249002160196
2.08, 0.259742910893
2.09, 0.263650274051
2.1, 0.262356365504
2.11, 0.267471407476
2.12, 0.269852084897
2.13, 0.274973486058
2.14, 0.306560366463
2.15, 0.30911104043
2.16, 0.305827008374
2.17, 0.304076864274
2.18, 0.304921522169
2.19, 0.317008775711
2.2, 0.334593392896
2.21, 0.33787801318
2.22, 0.348077236598
2.23, 0.361073073551
2.24, 0.356582784746
2.25, 0.3700673914
2.26, 0.319708848857
2.27, 0.328242387412
2.28, 0.320717458328
2.29, 0.303945239016
2.3, 0.311412430438
2.31, 0.306348904882
2.32, 0.310799847782
2.33, 0.308188473476
2.34, 0.297146234861
2.35, 0.283772672416
2.36, 0.31695414401
